match_id,home_ballpossession,away_ballpossession,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_duelwonpercent,away_duelwonpercent,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_goalkicks,away_goalkicks,home_accuratethroughball,away_accuratethroughball,home_redcards,away_redcards
7133423,49,51,15,9,3,1,4,4,20,18,417,418,18,14,3,4,2,3,1,0,10,3,3,3,9,6,6,3,1,1,322,309,22,20,49,51,35,36,18,19,2,15,,,0,1
7133424,58,42,10,7,1,2,8,2,14,15,447,334,14,12,4,3,3,4,0,0,4,1,3,2,4,4,6,3,3,3,370,240,24,20,47,53,30,29,9,15,1,6,,,,
7133418,71,29,13,7,3,2,6,4,14,15,561,230,14,13,0,2,3,4,1,0,7,2,3,1,8,2,5,5,4,2,453,131,32,17,49,51,35,41,25,22,8,15,1,0,,
7133476,55,45,8,10,2,1,6,2,20,21,432,361,19,20,3,2,4,4,0,0,3,4,1,2,6,4,2,6,1,4,333,258,23,29,47,53,42,51,15,14,9,8,,,,
7133470,38,62,13,12,2,2,3,5,18,17,315,506,16,17,5,3,5,3,0,0,7,5,1,4,10,9,3,3,0,3,215,386,25,27,45,55,35,49,19,16,7,8,1,0,1,0
7133474,40,60,10,16,7,2,1,9,18,29,320,457,27,18,2,5,5,7,0,0,4,6,1,3,5,10,5,6,1,2,232,375,18,26,52,48,60,54,11,11,9,5,,,,
7133469,66,34,14,9,1,4,7,3,17,17,661,330,15,17,1,3,6,1,1,0,3,6,5,2,9,4,5,5,2,2,584,256,24,14,56,44,55,44,12,9,6,6,,,,
7133473,59,41,12,8,2,3,5,3,13,19,484,325,18,13,4,2,3,3,0,0,6,4,3,1,8,4,5,4,1,2,381,219,28,30,57,43,38,24,14,16,4,15,0,1,,
7133472,61,39,12,9,1,3,3,2,17,17,473,297,17,16,4,4,4,1,1,0,8,5,0,3,8,5,4,4,3,1,369,193,29,28,55,45,55,40,18,19,7,11,,,,
7133477,52,48,24,9,2,7,11,6,13,12,348,329,11,12,0,3,7,2,1,0,10,4,7,3,11,7,13,3,1,2,234,221,36,21,49,51,28,28,9,11,6,13,,,,
