match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_redcards,away_redcards,home_bigchancemissed,away_bigchancemissed,home_accuratethroughball,away_accuratethroughball
9644074,71,29,4,3,20,6,3,6,6,2,7,9,685,280,18,17,8,5,1,1,7,5,0,0,10,1,3,0,13,5,7,1,1,2,3,0,2,1,592,200,28,17,64,47,21,31,2,4,48,52,6,8,39,31,13,25,13,8,13,6,10,18,9,35,2,10,,,3,1,,
9644075,51,49,,,13,7,0,2,6,4,14,7,366,351,18,15,6,14,3,1,2,0,0,0,9,4,2,3,11,2,2,5,,,3,2,2,0,252,232,45,28,50,54,22,26,6,6,49,51,10,10,34,37,25,25,10,9,13,5,13,12,17,19,6,11,,,,,,
9644071,55,45,3,1,16,10,1,4,4,3,16,14,421,349,22,18,13,15,2,2,6,2,0,1,8,4,2,4,9,4,7,6,1,0,1,0,3,2,346,266,15,21,63,42,34,30,7,5,53,47,10,10,43,43,17,11,8,9,16,12,12,12,18,8,8,11,,,2,1,0,1
9644072,49,51,1,2,8,13,3,3,6,4,15,11,460,482,25,22,9,14,4,1,3,4,0,0,4,7,1,2,4,8,4,5,0,1,1,1,0,2,373,397,26,23,64,49,29,28,2,2,47,53,13,12,44,52,16,15,10,16,14,18,15,10,15,18,7,7,1,0,1,1,1,2
9644066,58,42,0,2,11,14,7,4,3,5,15,14,564,405,16,12,13,15,3,1,4,7,0,0,6,5,1,2,3,11,8,3,,,2,1,4,2,478,317,16,20,55,46,31,35,6,8,55,45,6,6,45,30,13,17,16,4,11,8,8,7,17,16,3,5,,,0,2,0,1
9644070,55,45,0,4,15,12,2,4,7,2,14,13,538,445,13,14,13,13,1,4,5,5,0,1,6,4,4,3,8,9,7,3,0,3,4,3,1,1,440,344,24,17,78,30,33,21,6,2,47,53,8,6,34,35,12,16,8,8,7,13,9,3,12,23,2,9,,,0,1,0,2
9644069,52,48,1,1,16,19,3,5,4,8,15,16,410,373,18,14,13,15,2,4,6,5,0,0,6,11,4,3,7,10,9,9,1,0,3,0,,,314,276,18,30,39,55,21,17,3,3,51,49,7,8,46,40,14,17,15,11,11,7,12,15,19,10,12,10,,,0,1,,
9644081,47,53,5,2,10,16,0,3,5,5,12,12,381,435,19,16,11,12,0,2,7,4,0,1,2,9,1,3,9,8,1,8,4,1,3,1,3,1,301,354,22,34,46,59,36,32,6,3,51,49,8,8,41,39,9,10,11,10,14,6,18,9,16,10,11,5,,,1,1,0,1
9644076,56,44,1,0,14,6,3,3,6,2,11,7,485,384,13,15,7,10,1,0,4,3,1,0,3,2,7,1,10,2,4,4,,,2,1,2,1,397,289,29,27,53,60,32,32,6,0,46,54,7,8,32,36,20,24,12,12,7,9,10,12,18,19,6,11,,,1,0,,
9643589,52,48,3,0,11,13,4,2,4,3,15,11,461,410,19,13,10,14,4,3,7,5,1,1,3,7,1,1,8,8,3,5,3,0,3,4,1,5,371,331,21,22,59,43,37,36,4,4,55,45,6,10,33,35,16,5,4,8,12,11,9,12,20,13,7,5,0,1,,,1,1
