match_id,home_ballpossession,away_ballpossession,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_accuratethroughball,away_accuratethroughball,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_duelwonpercent,away_duelwonpercent,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_goalkicks,away_goalkicks
6802083,53,47,11,10,1,4,2,1,0,0,457,405,17,19,2,2,,,6,2,0,0,2,4,3,4,3,6,8,4,1,0,3,0,346,287,21,30,47,53,37,34,13,22,11,6
6802071,48,52,9,6,0,2,3,2,0,0,411,438,10,22,3,4,,,2,0,0,0,2,4,5,2,4,0,5,6,0,1,1,1,306,346,26,23,50,50,33,36,21,18,8,5
6802069,62,38,14,6,0,3,9,1,0,0,474,277,18,14,2,6,,,7,3,0,0,4,1,3,2,9,4,5,2,1,0,3,1,375,188,28,25,51,49,44,34,11,19,6,7
6802086,60,40,12,11,2,1,3,3,0,0,503,334,22,20,2,3,,,1,4,1,0,6,7,5,0,5,9,7,2,,,2,3,396,225,28,19,47,53,41,50,18,16,10,9
6802093,51,49,17,5,2,6,3,8,0,0,393,368,18,25,1,2,,,7,3,1,0,8,1,2,1,10,1,7,4,1,0,1,2,280,250,20,27,45,55,30,42,26,27,4,10
6802098,53,47,10,15,3,2,2,9,0,0,370,313,17,20,4,3,,,4,4,1,2,6,7,0,4,8,8,2,7,,,3,3,275,220,18,33,48,52,40,39,11,17,7,7
6802103,40,60,18,10,1,4,4,2,0,0,356,541,9,11,3,2,,,6,1,0,0,9,6,3,3,9,6,9,4,2,1,4,6,271,449,25,31,41,59,32,45,7,10,5,11
6802090,50,50,14,6,2,3,7,5,0,0,392,407,22,19,0,2,,,5,3,1,1,7,1,2,2,4,1,10,5,,,2,1,299,303,21,14,49,51,37,36,19,22,7,11
6802087,31,69,12,14,3,3,2,6,0,0,280,644,12,9,2,5,0,1,7,6,0,0,3,6,2,2,8,3,4,11,3,0,3,0,213,571,13,26,63,37,32,18,8,6,12,6
6802082,52,48,18,7,1,4,9,1,0,0,414,384,13,15,3,3,1,0,7,1,3,0,9,5,2,1,17,2,1,5,,,1,6,332,304,20,20,48,52,35,37,9,11,6,7
6802107,63,37,18,8,1,6,8,3,0,0,549,336,14,17,2,1,,,7,1,0,0,5,1,6,6,10,2,8,6,,,2,5,452,235,32,19,48,52,40,48,14,11,1,8
6802089,52,48,12,9,1,5,4,10,0,0,382,346,19,19,3,3,,,5,2,1,0,7,5,0,2,5,5,7,4,,,3,4,266,243,24,34,50,50,43,36,12,20,5,12
6802096,45,55,13,10,3,3,3,5,0,0,371,426,15,17,2,4,,,6,4,0,0,4,4,3,2,7,3,6,7,,,2,1,258,299,20,34,42,58,29,37,10,16,7,6
6802100,42,58,8,21,7,1,1,5,0,0,339,449,21,16,2,0,1,0,2,10,1,0,4,10,2,1,4,14,4,7,1,3,3,1,252,359,24,16,39,61,33,51,12,20,13,8
6802091,57,43,14,7,1,4,6,1,0,0,408,307,20,27,3,1,,,4,1,0,1,8,5,2,1,5,4,9,3,,,3,1,308,206,30,27,47,53,41,46,9,10,8,14
6802104,58,42,13,16,6,3,7,6,0,0,505,352,13,19,4,3,,,6,9,0,0,5,3,2,4,6,10,7,6,,,5,8,429,287,11,12,51,49,33,30,4,5,9,4
6802095,60,40,6,10,4,2,2,4,0,0,513,331,17,15,2,3,,,5,6,0,0,1,3,0,1,2,2,4,8,,,3,0,402,221,24,18,56,44,53,49,17,5,5,11
6802097,57,43,15,7,3,1,8,2,0,0,384,280,17,17,2,5,,,2,4,0,0,10,0,3,3,10,7,5,0,1,1,2,2,283,191,30,24,52,48,47,35,13,21,4,10
6802094,56,44,10,11,0,2,3,2,0,0,525,408,6,19,1,0,,,3,0,0,0,4,10,3,1,3,5,7,6,0,2,5,1,424,324,18,18,49,51,35,46,20,11,15,6
6802102,53,47,19,14,4,5,5,1,0,0,427,371,21,15,3,3,,,7,4,0,0,10,7,2,3,12,8,7,6,3,0,1,2,316,279,18,24,59,41,54,38,9,5,7,12
6802088,59,41,3,5,0,1,2,3,0,0,516,342,20,14,2,0,,,1,1,0,0,2,4,0,0,1,3,2,2,0,1,3,1,388,242,29,30,56,44,53,33,9,15,7,2
6802092,52,48,13,10,2,3,4,4,0,0,404,377,24,20,4,2,,,4,2,0,1,6,3,3,5,7,3,6,7,,,0,1,315,278,18,18,50,50,52,58,17,10,5,10
6802115,57,43,12,12,2,4,6,5,0,0,413,298,25,16,3,3,,,5,4,1,1,7,6,0,2,7,3,5,9,1,0,1,2,321,203,30,21,55,45,50,34,19,23,6,13
6802105,38,62,14,4,1,3,4,3,0,0,345,578,19,12,2,3,,,4,1,1,0,7,2,3,1,8,2,6,2,,,1,0,255,491,10,18,61,39,47,27,11,10,5,8
6802118,50,50,14,10,1,4,8,6,0,0,398,395,15,12,0,2,,,6,3,0,0,6,6,2,1,11,7,3,3,1,0,4,2,296,294,25,25,47,53,33,31,8,15,10,8
6802111,45,55,13,6,2,4,5,5,0,0,369,450,13,13,3,1,,,6,4,2,0,6,1,1,1,9,2,5,4,,,3,4,281,346,27,25,54,46,31,29,13,8,4,9
6802106,48,52,19,19,3,4,5,1,0,0,355,395,16,19,2,4,0,2,7,5,1,0,8,8,4,6,11,6,8,13,1,1,3,0,251,298,19,20,47,53,35,39,16,19,11,10
6802101,67,33,27,8,3,5,14,1,0,0,605,328,21,9,4,3,,,5,5,0,1,14,2,8,1,14,4,13,4,0,1,1,2,505,219,30,12,55,45,39,32,17,14,0,16
6802122,54,46,23,12,4,6,7,3,0,0,464,394,15,18,1,2,,,8,6,1,2,11,3,4,3,15,7,8,5,,,1,2,382,293,24,19,53,47,39,43,24,12,8,13
