match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_accuratethroughball,away_accuratethroughball,home_redcards,away_redcards
8915312,31,69,1,2,4,10,3,3,5,3,16,11,304,688,18,11,8,15,5,1,3,5,0,1,1,4,0,1,3,6,1,4,0,1,1,1,1,3,6,0,233,605,15,12,34,79,23,30,0,3,47,53,8,15,29,29,8,13,4,3,12,7,8,18,19,8,6,3,,,1,0
8915315,47,53,1,2,11,21,5,2,4,10,11,13,405,425,15,12,12,10,2,3,3,7,0,1,7,7,1,7,9,13,2,8,,,1,2,3,2,1,5,323,353,15,18,50,52,29,16,0,5,50,50,9,10,36,44,14,6,9,22,6,6,11,10,26,11,10,11,0,1,,
8915459,72,28,9,1,27,3,0,11,10,2,12,13,636,251,15,9,12,12,1,4,12,1,1,0,9,2,6,0,19,2,8,1,1,0,8,1,4,0,3,0,570,172,19,13,86,38,47,28,11,0,58,42,8,8,38,31,21,12,12,12,9,5,11,14,10,29,4,13,1,0,0,1
8915313,50,50,,,14,8,0,3,5,5,11,13,440,445,10,11,12,10,2,4,3,1,0,0,8,5,3,2,2,2,12,6,,,,,4,4,3,2,358,366,18,17,47,54,28,35,4,2,50,50,1,6,33,31,12,14,12,10,9,8,13,18,13,19,7,10,,,0,1
8915379,42,58,1,2,6,12,3,3,3,7,17,13,332,434,14,11,13,17,6,3,5,5,0,0,1,5,0,2,5,8,1,4,1,1,0,1,2,7,1,0,246,357,14,15,51,70,28,40,1,8,45,55,7,7,32,40,20,24,5,13,8,4,11,6,33,5,8,8,0,2,1,0
8915306,52,48,3,3,18,12,5,4,6,4,11,12,490,454,18,15,11,11,2,1,7,7,0,0,5,1,6,4,13,9,5,3,2,2,1,1,2,2,0,1,404,365,21,28,50,59,26,32,2,1,46,54,10,9,41,49,12,14,12,23,9,7,9,9,13,18,5,6,2,0,,
8915323,46,54,0,4,4,21,7,0,1,7,9,9,462,549,14,10,7,9,6,1,0,11,0,1,4,8,0,2,1,11,3,10,0,3,0,1,1,1,5,1,399,488,17,16,38,52,28,21,2,4,51,49,4,10,29,29,12,11,8,10,5,9,7,10,19,6,8,6,1,0,1,0
8915320,49,51,2,2,11,11,4,2,2,8,13,17,408,406,8,12,15,13,3,3,4,6,0,0,6,4,1,1,7,9,4,2,1,1,1,1,2,3,3,2,325,329,18,17,56,59,30,33,2,5,52,48,5,4,33,33,14,10,10,8,6,8,16,9,16,9,10,7,,,0,1
8915470,50,50,1,1,18,11,3,7,3,4,12,14,456,457,13,23,14,12,3,5,8,3,0,0,7,5,3,3,7,6,11,5,1,0,0,1,3,3,2,4,376,359,21,17,52,64,25,32,1,4,48,52,17,10,32,43,21,14,5,8,8,15,9,16,18,12,8,10,1,0,,
8915452,44,56,6,3,13,20,5,7,5,3,15,8,383,470,15,16,8,15,2,2,9,5,0,0,2,11,2,4,9,9,4,11,2,0,4,3,0,4,3,2,292,376,19,24,52,78,34,37,1,7,46,54,15,9,32,40,11,11,9,9,7,15,22,20,24,8,11,4,0,1,,
8915457,60,40,5,3,18,7,0,2,9,1,12,9,491,340,17,13,8,12,6,4,5,4,1,1,9,2,4,1,11,4,7,3,3,3,2,0,4,3,0,3,404,256,26,19,69,47,21,11,9,3,44,56,7,6,32,37,10,17,7,12,13,9,12,14,9,30,1,10,,,0,1
8915317,54,46,2,1,18,10,4,5,6,4,14,12,482,415,11,7,12,13,1,1,4,4,0,0,11,4,3,2,12,4,6,6,,,2,1,2,4,1,2,418,345,16,18,51,53,38,19,7,3,54,46,1,5,35,29,10,9,12,9,7,5,10,9,14,13,7,9,,,,
8915319,55,45,3,1,7,6,0,5,6,3,11,13,443,366,10,10,12,9,1,3,5,1,0,0,0,4,2,1,5,5,2,1,0,1,3,0,3,1,3,2,369,288,30,21,52,40,41,27,6,2,57,43,6,5,31,24,17,12,9,6,6,5,11,9,11,21,7,3,,,,
8915304,68,32,5,0,17,6,2,2,6,3,14,11,637,295,16,14,10,13,1,0,5,2,1,0,7,2,5,2,11,1,6,5,3,0,2,0,3,3,2,3,560,224,19,21,67,40,22,20,6,0,58,42,8,9,39,37,18,4,14,11,9,9,16,13,7,30,5,13,,,0,1
8915314,33,67,0,2,14,16,5,2,4,9,14,9,248,497,15,16,7,13,4,2,4,6,0,0,6,5,4,5,6,10,8,6,0,1,0,1,1,4,2,0,163,397,19,30,48,60,16,31,2,5,47,53,10,11,29,38,17,14,8,12,9,11,8,5,21,9,9,8,,,,
8915305,66,34,2,1,6,12,4,1,6,4,13,12,564,285,11,18,10,12,2,2,2,5,0,0,3,6,1,1,5,9,1,3,1,1,1,0,2,1,1,3,478,213,24,13,59,38,36,30,6,5,43,57,9,4,31,38,9,14,10,8,4,10,8,24,9,17,7,4,0,1,,
8915300,65,35,5,0,16,10,3,4,2,9,9,15,634,321,17,7,13,9,0,1,6,3,0,0,8,5,2,2,12,5,4,5,1,0,4,0,6,2,4,1,563,249,23,21,67,38,32,17,4,3,59,41,5,10,39,27,10,7,9,11,11,5,8,14,14,18,6,10,,,0,1
8915453,41,59,0,2,10,11,4,3,4,2,17,11,330,483,11,8,10,14,3,2,3,5,1,0,6,4,1,2,5,7,5,4,0,1,0,1,2,6,0,2,241,401,18,19,73,64,40,30,3,3,58,42,2,8,35,29,22,13,14,7,8,5,11,8,26,19,10,10,,,,
8915299,61,39,4,1,13,11,1,2,7,5,10,17,534,335,10,13,16,9,3,2,4,1,0,0,6,7,3,3,11,5,2,6,2,0,2,1,3,2,2,1,466,259,11,16,52,49,25,28,7,1,50,50,7,8,29,27,12,14,3,6,7,9,20,15,13,17,7,8,2,0,0,1
8915302,41,59,0,1,8,9,2,2,6,5,17,19,337,495,23,15,18,17,4,1,4,3,0,0,2,4,2,2,3,4,5,5,0,1,,,3,3,5,3,225,410,22,20,68,55,30,30,4,6,51,49,10,10,44,37,9,13,5,5,18,10,9,18,15,15,5,4,,,,
8915471,46,54,1,0,13,6,3,3,4,5,19,12,342,400,18,12,11,19,3,2,4,3,0,0,6,1,3,2,8,4,5,2,1,0,,,0,5,2,0,247,296,22,27,50,62,20,39,2,2,49,51,4,8,36,43,17,13,8,13,13,11,15,15,26,11,2,9,2,0,,
8915362,57,43,3,2,18,10,0,7,11,4,17,11,427,322,10,16,9,13,3,4,7,2,1,0,7,6,4,2,13,6,5,4,0,2,3,0,3,3,1,3,327,240,24,18,68,42,37,24,7,4,49,51,9,7,29,33,17,15,10,4,6,11,9,18,10,28,9,8,,,0,1
8915301,50,50,4,1,10,6,0,3,6,6,13,12,496,482,16,22,10,11,0,1,4,1,0,0,3,4,3,1,8,5,2,1,1,1,3,0,3,3,0,2,420,405,22,18,39,49,26,43,4,4,49,51,12,7,44,38,10,19,18,6,8,17,8,7,21,16,6,5,1,0,,
