match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancemissed,away_bigchancemissed,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_bigchancescored,away_bigchancescored,home_accuratethroughball,away_accuratethroughball
8310975,53,47,0,3,9,17,3,3,10,5,11,19,473,425,14,17,17,11,,,,,3,4,0,1,5,10,1,3,7,9,2,8,0,2,3,3,1,2,412,355,14,19,64,44,39,32,8,9,50,50,12,12,34,38,17,13,5,10,11,9,9,6,18,34,10,7,0,1,,
8310982,53,47,1,2,14,12,0,4,8,3,10,12,486,434,10,9,11,8,2,0,,,5,3,0,1,5,6,4,3,4,5,10,7,,,3,2,1,3,401,349,25,22,58,35,14,27,4,4,46,54,6,3,27,26,10,18,6,9,7,6,10,16,13,19,5,11,1,2,,
8310985,25,75,3,1,8,17,6,1,1,2,13,12,213,631,19,16,10,13,1,2,,,3,7,0,0,4,7,1,3,4,13,4,4,2,0,3,2,0,3,135,561,15,23,41,55,26,42,1,10,51,49,9,10,45,36,10,17,17,7,10,11,9,6,27,2,14,7,1,1,1,0
8310983,59,41,4,3,22,14,5,11,3,7,11,8,464,321,20,19,6,10,3,2,,,10,6,0,1,9,5,3,3,16,10,6,4,4,2,1,3,4,1,380,240,25,19,69,52,28,30,7,4,50,50,10,12,34,38,18,14,8,12,14,9,10,14,9,19,5,13,0,1,1,1
8310934,50,50,3,1,11,17,2,3,7,7,9,17,418,401,20,19,15,9,2,1,,,4,3,0,0,5,8,2,6,9,8,2,9,2,0,3,2,1,0,322,324,18,21,52,50,34,34,5,10,57,43,12,9,51,35,19,18,16,9,11,8,6,17,21,16,10,8,1,1,,
8310973,58,42,4,0,18,10,4,2,6,5,8,20,467,328,17,13,20,7,2,3,,,3,4,1,0,9,4,6,2,10,5,8,5,3,0,8,3,1,6,401,262,13,14,48,34,18,23,4,5,57,43,12,13,46,28,14,17,10,9,9,9,12,15,15,16,10,15,1,0,1,0
8310974,53,47,4,1,16,6,2,6,3,5,12,15,463,396,24,15,14,10,4,3,,,9,3,2,0,5,2,2,1,9,4,7,2,2,1,2,2,4,3,350,286,13,25,62,61,23,20,3,5,49,51,9,18,43,36,20,30,5,12,15,9,12,14,25,13,11,13,2,0,,
8310939,46,54,5,0,21,6,1,1,7,2,14,14,388,473,16,18,11,14,3,4,0,1,3,1,2,0,13,3,5,2,14,4,7,2,4,0,6,3,1,3,318,391,25,21,66,53,30,33,3,1,52,48,10,9,34,40,16,7,7,8,9,15,18,15,12,18,6,14,1,0,0,1
8354978,36,64,1,2,9,18,4,1,3,6,17,13,287,513,26,17,9,17,5,2,,,2,4,1,0,5,9,2,5,6,11,3,7,0,2,3,3,3,1,170,398,23,36,62,65,27,22,3,8,50,50,12,13,42,44,24,21,8,10,15,8,16,7,26,10,15,5,1,0,0,1
8354981,66,34,2,3,17,11,1,4,8,1,15,15,559,306,9,18,15,14,3,5,,,6,4,0,0,8,7,3,0,12,6,5,5,1,2,5,3,0,1,490,227,19,16,59,28,31,15,14,0,54,46,11,5,44,40,25,18,22,9,6,11,6,10,11,33,9,16,1,1,0,1
8354976,50,50,4,4,12,15,4,3,6,12,13,11,361,356,16,15,10,9,2,3,,,4,5,0,1,6,9,2,1,6,10,6,5,3,3,4,2,3,0,295,282,20,20,43,42,31,24,3,5,54,46,5,8,33,31,13,8,7,8,7,8,8,6,21,12,7,9,1,1,1,0
8354980,63,37,4,2,29,9,1,7,14,5,12,17,488,303,11,10,16,11,2,2,,,9,3,1,0,13,4,7,2,26,6,3,3,3,1,4,0,2,2,395,213,17,15,51,57,21,22,21,5,45,55,6,3,38,35,12,25,11,14,5,5,11,11,13,28,9,14,1,1,,
8354977,74,26,4,3,21,10,2,7,5,2,10,14,581,207,8,25,12,8,2,2,0,1,8,4,1,0,9,4,4,2,9,7,12,3,3,1,2,2,5,1,523,130,25,17,79,45,26,20,5,3,49,51,14,4,38,38,14,16,18,6,5,16,10,9,12,32,7,15,1,2,,
8354979,65,35,,,14,9,5,2,6,2,21,13,474,267,15,19,12,19,3,3,,,3,5,0,0,8,2,3,2,7,5,7,4,,,4,1,2,5,393,175,30,19,63,53,29,22,6,3,53,47,11,4,43,43,19,13,17,6,10,14,1,14,18,28,4,9,,,,
8354973,55,45,2,6,10,14,3,3,6,4,22,14,386,324,8,8,14,20,5,7,1,1,4,7,0,0,3,6,3,1,5,12,5,2,1,3,5,5,2,2,307,265,15,9,51,40,32,25,4,3,45,55,5,4,25,37,14,10,4,10,7,5,6,7,8,25,10,4,1,3,0,3
8354975,50,50,1,0,14,8,3,4,8,6,11,13,469,457,18,11,13,10,2,1,,,5,3,0,0,5,4,4,1,8,4,6,4,,,1,2,2,0,369,357,17,21,57,83,29,37,4,5,59,41,7,13,42,31,21,13,11,10,10,7,14,14,26,24,5,6,1,0,,
8354974,47,53,2,5,17,21,3,5,4,2,11,14,429,462,15,8,13,9,0,1,,,6,5,0,0,9,10,2,6,8,19,9,2,1,4,4,3,1,2,343,379,10,19,57,63,39,33,5,10,63,37,5,8,46,21,15,15,18,4,5,5,13,12,22,11,16,13,1,1,0,1
8311080,42,58,0,5,9,18,3,2,4,5,10,11,392,547,17,9,11,9,1,0,,,2,5,0,1,5,7,2,6,5,13,4,5,0,3,0,4,3,6,286,462,17,21,41,62,31,24,3,6,55,45,6,8,40,32,15,13,13,14,12,5,8,12,18,20,12,4,0,2,0,1
8311085,60,40,1,0,10,9,0,3,8,4,14,12,570,384,13,17,8,12,1,0,,,3,0,0,0,4,4,3,5,6,4,4,5,1,0,1,1,1,1,482,296,22,16,70,49,24,31,4,1,51,49,12,9,32,36,18,12,11,8,7,6,11,14,15,25,11,13,,,,
8311083,57,43,2,3,17,18,1,1,6,3,11,8,457,348,15,17,6,10,3,2,1,0,6,3,0,0,7,8,4,7,14,8,3,10,1,1,2,3,1,2,394,285,18,13,52,35,27,25,7,2,49,51,9,13,33,37,15,12,12,10,10,11,5,8,7,15,11,9,1,2,2,0
8311087,39,61,1,3,11,17,1,1,8,2,15,10,350,535,11,19,10,15,6,1,1,0,3,4,0,1,4,10,4,3,7,9,4,8,0,1,2,5,4,2,275,463,15,23,53,51,29,15,4,8,39,61,14,7,29,43,8,16,9,9,7,13,8,9,29,12,11,3,1,2,,
8311081,60,40,3,1,24,3,1,9,12,2,17,23,412,282,15,12,20,15,0,4,0,1,11,1,1,0,5,1,8,1,14,2,10,1,2,1,6,3,0,2,332,203,18,17,50,37,29,14,6,2,51,49,9,9,40,37,18,18,7,10,11,11,5,6,13,32,2,10,1,0,,
8311084,41,59,1,7,9,21,6,2,4,7,14,17,341,488,15,16,12,13,2,2,1,0,2,9,0,1,6,8,1,4,7,14,2,7,1,4,3,4,,,248,406,19,11,51,52,27,28,3,8,48,52,8,6,38,38,18,22,11,9,9,11,11,10,13,11,8,9,0,3,1,0
8311082,61,39,6,0,12,9,2,3,5,10,7,10,530,324,11,16,9,7,1,4,,,6,2,0,0,4,4,2,3,7,6,5,3,3,0,1,1,2,4,461,253,12,25,53,52,29,26,4,5,50,50,10,4,24,29,12,7,5,6,8,7,14,7,16,15,7,9,3,0,1,0
8311088,56,44,6,2,20,22,7,7,7,4,9,7,510,403,21,16,5,8,1,0,,,10,8,3,1,5,9,5,5,15,14,5,8,5,2,2,1,4,0,429,329,31,18,58,56,32,26,6,3,57,43,9,10,40,34,16,9,14,10,12,8,7,15,13,18,11,6,1,0,,
8311086,42,58,2,0,9,13,2,2,0,5,17,13,364,490,16,17,12,17,4,1,,,3,2,0,0,5,6,1,5,6,9,3,4,1,0,2,5,3,1,305,429,27,20,48,50,23,28,0,10,45,55,7,6,35,48,10,8,10,15,8,10,8,14,22,6,10,6,1,0,,
8311100,66,34,1,2,12,12,3,0,1,5,14,17,528,270,16,18,15,14,3,5,,,2,5,0,0,6,4,4,3,7,9,5,3,0,1,3,4,4,4,442,183,22,26,53,61,22,22,3,4,50,50,11,5,45,46,19,18,15,15,10,13,13,8,11,14,5,7,1,1,0,1
8311103,49,51,1,3,8,9,2,3,4,8,15,14,414,428,13,8,13,14,1,2,1,1,4,3,0,0,4,2,0,4,3,4,5,5,1,2,2,3,1,1,330,351,18,25,56,46,24,22,2,3,58,42,5,13,39,30,18,11,15,8,11,7,10,11,20,16,6,6,0,1,,
