match_id,home_ballpossession,away_ballpossession,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_duelwonpercent,away_duelwonpercent,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_goalkicks,away_goalkicks,home_accuratethroughball,away_accuratethroughball,home_redcards,away_redcards,home_bigchancecreated,away_bigchancecreated,home_totaltackle,away_totaltackle,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_fouledfinalthird,away_fouledfinalthird,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_dispossessed,away_dispossessed,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_ballrecovery,away_ballrecovery,home_totalclearance,away_totalclearance
7479858,41,59,12,12,1,3,5,5,23,13,294,417,13,21,6,2,4,2,0,1,7,8,1,2,9,6,3,6,1,5,187,309,33,14,41,59,40,51,16,28,7,13,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479856,66,34,14,7,3,5,5,2,9,14,586,302,14,9,2,4,5,4,0,0,6,1,3,2,5,5,9,2,0,3,507,218,25,17,48,52,43,37,17,28,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479863,37,63,10,20,7,5,4,3,13,14,385,650,14,12,3,1,6,9,0,1,3,7,1,4,7,7,3,13,2,2,296,564,15,21,44,56,39,48,13,17,12,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479857,54,46,15,7,3,4,3,3,18,10,463,391,9,17,4,2,7,4,0,0,5,2,3,1,10,2,5,5,4,2,372,291,19,25,46,54,42,45,16,23,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479850,54,46,20,9,1,8,2,3,20,18,439,356,18,18,2,4,11,3,4,0,5,3,4,3,11,5,9,4,3,2,334,252,24,18,51,49,34,33,19,17,4,4,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479877,68,32,15,8,0,5,10,3,12,9,679,315,9,11,3,1,8,2,2,0,6,4,1,2,12,4,3,4,2,1,577,217,23,19,50,50,38,38,24,25,7,10,1,0,0,1,4,1,15,17,2,1,2,0,1,3,81,49,35,26,8,1,10,7,15,10,12,10,10,17,72,67,16,35
7479878,56,44,12,11,2,3,7,2,17,20,446,353,19,16,2,3,4,4,0,1,4,6,4,1,5,8,7,3,0,4,331,258,29,19,53,47,58,43,13,20,9,5,,,,,1,3,21,21,0,2,1,1,2,3,76,64,33,27,4,4,15,16,19,7,14,14,10,10,75,85,17,38
7479880,61,39,11,13,5,4,5,4,16,12,505,320,12,15,1,1,4,5,1,0,5,6,2,2,5,10,6,3,1,0,397,219,32,26,43,57,40,45,13,24,7,7,0,1,,,0,4,15,20,,,0,4,1,2,77,48,27,37,5,5,16,9,13,11,8,12,13,17,72,75,22,34
7479873,57,43,15,9,3,2,9,4,16,11,500,385,11,15,3,4,3,4,1,0,8,2,4,3,11,6,4,3,6,0,424,285,28,12,50,50,38,50,39,28,4,8,1,1,,,4,2,13,29,1,1,3,1,2,1,56,49,35,34,9,5,23,9,14,8,10,18,6,10,50,37,19,31
7479881,34,66,11,16,3,3,6,1,12,16,269,532,15,10,4,4,5,5,1,0,4,8,2,3,4,9,7,7,2,6,180,442,18,13,46,54,29,29,22,30,14,4,1,2,1,1,1,6,10,11,0,2,1,4,4,2,43,61,24,27,4,6,6,5,6,8,6,8,19,13,57,73,19,20
7479864,61,39,17,6,2,3,4,2,13,25,549,351,24,12,3,3,4,3,0,0,10,1,3,2,13,3,4,3,2,2,454,247,18,15,60,40,44,33,24,12,6,15,,,0,1,1,2,13,17,0,1,1,1,10,1,90,57,32,22,10,1,12,9,7,5,7,7,11,17,65,61,11,25
7479876,39,61,9,8,1,2,6,3,11,12,382,629,12,10,2,3,2,4,0,1,2,1,5,3,5,4,4,4,2,4,289,551,22,18,51,49,36,39,15,10,2,6,0,1,,,0,2,17,22,0,1,0,1,5,3,51,41,23,27,6,2,16,11,7,7,10,13,10,10,61,65,9,24
7479874,37,63,10,15,4,3,5,9,12,16,317,519,15,10,2,1,4,6,1,2,3,7,3,2,7,8,3,7,2,2,221,428,22,21,50,50,44,49,25,20,9,8,1,0,,,2,1,18,27,0,1,2,0,3,2,56,49,23,21,3,7,19,12,12,12,14,17,18,19,60,65,18,23
7479867,58,42,15,11,2,5,7,2,16,16,442,343,14,15,2,0,6,5,0,0,4,6,5,0,10,9,5,2,1,1,361,255,22,26,46,54,33,30,14,25,11,9,0,1,,,2,5,7,12,0,3,2,2,5,4,65,49,25,28,6,3,10,4,13,5,6,6,14,13,54,53,15,35
