match_id,home_ballpossession,away_ballpossession,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_shotsoffgoal,away_shotsoffgoal,home_offsides,away_offsides,home_throwins,away_throwins,home_goalkicks,away_goalkicks
4099147,53,47,4,2,9,3,16,16,16,19,2,3,0,1,2,5,6,4,3,0,24,16,5,9
4099137,52,48,2,5,6,3,14,18,23,16,1,5,0,1,6,4,7,1,2,5,19,24,3,13
4099131,51,49,6,4,2,5,22,24,27,25,0,3,0,0,2,3,4,2,3,3,16,22,10,10
4099139,58,42,1,4,5,1,23,21,27,24,4,5,0,1,5,2,11,2,1,6,25,20,4,17
4099133,48,52,3,2,3,10,13,9,11,14,2,3,0,0,4,4,0,4,1,2,15,14,5,1
4099145,51,49,2,3,3,5,14,13,15,15,2,3,0,0,4,3,5,5,1,2,22,26,10,9
4099141,58,42,3,4,7,2,20,20,23,24,1,1,0,0,7,3,3,4,4,3,16,21,11,10
4099135,47,53,2,3,3,8,13,15,20,13,3,1,1,0,3,5,8,10,0,5,28,8,15,12
4099163,44,56,10,9,3,5,26,15,15,27,3,2,0,0,4,3,4,7,1,0,16,21,12,7
4099155,52,48,4,10,4,2,18,20,22,21,4,2,0,0,10,2,4,3,3,2,22,22,4,7
4099151,49,51,4,7,7,6,15,15,18,16,2,3,0,0,9,6,8,7,1,3,23,21,10,14
4099157,54,46,7,1,3,5,15,18,20,17,1,2,0,0,1,7,4,3,2,2,29,27,8,11
4099161,46,54,3,5,3,3,19,17,21,20,2,1,0,0,6,6,4,5,1,4,23,21,9,6
4099165,53,47,2,0,5,4,18,23,24,20,2,1,0,0,0,3,5,8,2,1,25,24,11,10
4099159,59,41,1,4,4,1,10,13,14,10,1,3,0,0,4,2,8,5,0,1,27,21,5,11
4099153,55,45,6,7,8,7,21,18,18,24,2,4,0,0,10,5,6,2,3,0,25,31,7,7
4099149,51,49,3,1,2,5,11,22,24,13,2,2,0,0,3,4,5,4,2,2,24,19,11,10
4099169,48,52,5,3,5,6,21,18,21,28,2,1,0,0,6,7,3,12,7,3,18,19,15,8
4099171,48,52,2,2,6,3,17,13,16,20,0,2,0,0,3,2,8,5,3,3,22,21,6,15
4099173,52,48,1,3,3,3,26,31,32,28,5,4,0,0,4,2,6,2,2,1,17,14,8,12
4099175,50,50,3,5,4,3,19,15,17,22,2,3,0,0,7,4,3,4,3,2,16,29,6,9
4099177,55,45,5,6,4,2,15,19,19,17,2,2,0,0,6,6,6,3,2,0,21,25,8,14
4099167,46,54,2,2,5,5,20,13,14,21,1,3,0,0,6,4,5,6,1,1,16,25,15,7
4099181,55,45,4,7,8,2,19,17,28,22,2,2,0,0,9,4,6,0,3,11,19,17,4,9
4099183,61,39,2,3,5,5,18,25,30,20,4,7,1,1,4,2,3,3,2,5,17,14,9,10
4099179,46,54,2,3,6,6,20,7,10,22,1,0,0,0,6,2,7,5,2,3,14,41,10,9
4099199,45,55,5,3,8,4,23,19,22,29,2,2,0,0,4,6,3,4,6,3,25,21,8,6
4099191,54,46,3,2,3,7,17,17,21,18,3,2,0,0,3,4,5,5,1,4,34,24,10,9
4099197,48,52,1,7,6,3,15,14,16,18,3,2,0,0,8,3,7,4,3,2,16,21,7,14
4099185,53,47,3,3,5,4,15,14,19,15,1,2,0,0,3,5,11,4,0,5,33,16,11,23
4099201,55,45,2,3,5,6,17,8,9,20,1,2,0,0,6,3,7,5,3,1,28,31,10,11
4099193,47,53,1,3,3,3,14,14,14,14,3,3,0,0,3,1,6,4,,,26,26,8,7
4099195,55,45,2,7,8,5,14,26,26,17,1,6,0,1,9,4,7,2,3,0,40,17,6,11
4099187,55,45,4,3,5,5,16,22,27,18,1,4,0,1,7,5,4,1,2,5,33,29,8,9
4099189,49,51,2,4,1,9,16,11,12,16,2,1,0,0,6,3,9,4,0,1,13,19,11,10
4099211,45,55,4,7,4,3,10,15,17,10,1,1,0,0,6,9,10,3,0,2,27,23,4,18
4099213,44,56,3,4,12,3,18,16,17,20,1,2,0,0,4,4,3,1,2,1,27,18,6,7
4099209,36,64,6,3,2,6,15,12,15,18,4,1,0,0,5,8,5,7,3,3,17,29,9,8
4099215,48,52,3,3,8,2,25,14,15,25,2,1,0,0,4,3,10,2,0,1,25,17,8,16
4099205,43,57,5,1,5,10,12,18,18,15,2,4,1,0,1,9,5,7,3,0,22,24,10,7
4099203,45,55,5,2,1,11,16,15,15,18,1,5,0,0,5,8,2,6,2,0,18,26,13,5
4099217,51,49,6,3,6,7,22,23,25,24,5,3,2,0,3,5,3,9,2,2,20,21,10,8
4099207,61,39,4,2,9,3,19,16,18,21,4,1,0,0,4,5,13,5,2,2,27,20,7,16
4099219,55,45,9,11,3,8,23,10,10,24,1,2,0,0,7,1,6,2,1,0,34,13,3,11
4099227,42,58,4,5,9,9,22,16,16,26,6,5,0,2,5,5,1,2,4,0,19,20,9,4
4099225,37,63,4,7,5,6,18,16,16,20,1,1,0,0,10,2,2,7,2,0,20,37,12,7
4099237,45,55,3,5,14,3,13,19,23,17,2,2,1,0,6,4,6,6,4,4,27,18,9,17
4099229,56,44,0,6,6,3,9,15,15,9,1,3,0,0,6,1,1,2,0,1,32,16,4,6
4099231,58,42,0,4,6,2,18,11,16,20,1,3,0,0,4,1,12,5,2,5,27,21,7,17
4099235,59,41,3,3,3,4,18,18,19,18,2,3,0,0,5,3,9,4,0,1,18,25,9,16
4099221,60,40,2,4,9,2,21,27,29,24,2,3,0,0,5,5,7,2,3,2,22,17,5,14
4099223,57,43,1,5,4,3,18,11,11,19,3,2,0,1,10,1,3,3,1,0,25,22,8,6
4099233,48,52,5,2,3,9,14,14,18,17,2,1,0,0,5,5,3,4,3,4,26,21,10,8
4099267,60,40,2,5,6,4,7,11,13,10,1,1,0,0,7,2,12,3,3,2,20,7,6,20
4099275,50,50,8,9,4,4,12,28,30,16,2,4,0,0,10,5,3,1,4,2,25,11,5,6
4099279,48,52,4,2,6,6,14,13,14,16,2,0,0,0,3,4,8,1,2,1,22,24,5,13
4099277,54,46,6,9,11,3,12,9,11,15,3,3,0,0,12,7,7,6,3,2,13,16,11,11
