match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_accuratethroughball,away_accuratethroughball,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_redcards,away_redcards,home_ballrecovery,away_ballrecovery
10433959,36,64,1,3,8,18,2,1,3,8,21,17,250,443,48,8,14,19,4,2,2,4,1,3,3,8,3,6,5,15,3,3,1,2,0,1,,,1,6,7,3,146,350,19,33,52,61,31,34,3,7,56,44,4,21,63,40,16,23,1,13,28,2,9,5,25,11,8,6,,,,
10433975,30,70,4,4,11,14,1,2,1,7,14,13,276,646,17,6,12,13,2,0,6,2,0,0,5,9,0,3,6,8,5,6,3,1,1,3,,,2,1,3,1,186,565,8,26,40,71,19,27,2,11,49,51,2,8,32,24,7,16,3,5,7,3,17,6,32,7,15,6,,,,
10433960,65,35,1,2,19,11,3,3,6,2,12,16,578,321,23,22,14,12,1,3,5,7,0,0,5,2,9,2,14,6,5,5,1,1,0,1,0,1,3,3,1,2,490,228,34,19,65,34,27,20,12,0,54,46,17,18,38,40,21,11,2,6,13,14,5,7,13,24,2,15,,,,
10433956,44,56,3,3,12,9,1,3,6,4,17,15,367,478,24,17,14,14,2,3,5,2,0,0,6,3,1,4,7,7,5,2,1,1,2,2,0,1,1,1,2,3,277,376,23,33,56,57,29,30,7,6,59,41,10,13,42,33,20,10,4,2,12,11,11,15,21,13,4,11,,,,
10433963,54,46,2,1,10,10,1,3,4,3,13,13,476,401,13,24,10,13,4,1,5,3,0,0,4,7,1,0,7,8,3,2,1,1,1,0,1,1,4,5,3,0,401,320,25,25,60,52,35,35,6,5,54,46,15,9,31,40,26,8,8,3,7,14,19,13,11,19,7,5,,,,
10434025,44,56,2,1,14,16,5,2,5,5,8,6,441,567,18,13,6,8,2,0,3,6,0,0,7,4,4,6,8,8,6,8,1,0,1,1,0,1,1,1,2,0,348,488,19,22,62,67,25,45,6,4,46,54,6,13,27,31,12,15,3,10,11,7,9,17,11,22,11,10,,,,
10434067,52,48,6,0,17,8,3,5,4,5,12,11,525,472,20,18,11,12,1,3,11,3,0,0,5,4,1,1,12,4,5,4,5,0,1,0,2,0,2,2,5,2,436,392,11,19,54,49,28,35,3,2,53,47,11,13,37,33,12,11,6,3,10,10,6,10,14,16,6,8,,,,
10433902,67,33,4,0,17,5,1,7,10,1,11,9,746,364,16,27,8,11,2,2,8,1,1,0,4,2,5,2,10,2,7,3,1,0,3,0,,,2,1,2,5,668,288,20,12,60,52,39,33,6,2,44,56,18,13,29,41,8,7,5,3,8,17,8,15,5,18,4,7,,,,
10434004,53,47,0,1,9,11,3,4,3,2,17,8,493,441,11,9,7,16,2,2,4,4,0,0,5,3,0,4,7,5,2,6,,,0,1,0,1,2,2,2,1,409,364,21,20,55,48,42,23,5,1,46,54,8,9,21,32,12,6,3,8,10,5,13,10,13,17,8,8,,,,
10433979,55,45,4,3,14,12,3,6,6,7,18,13,496,396,16,10,13,16,2,4,8,4,0,0,3,5,3,3,13,10,1,2,1,0,3,3,1,0,3,3,0,1,407,312,23,19,65,50,27,24,8,4,52,48,6,11,36,32,14,15,7,6,11,6,8,16,19,28,7,3,,,,
10434001,44,56,1,4,6,16,6,2,1,6,16,11,433,517,12,14,10,15,5,1,5,9,0,1,0,5,1,2,2,15,4,1,1,2,0,2,,,0,4,3,3,337,432,24,17,52,89,18,37,1,11,44,56,8,5,25,36,14,13,3,7,6,8,5,10,34,4,11,3,,,,
10434051,56,44,0,1,24,11,1,5,14,7,10,11,394,321,16,18,11,10,2,2,5,2,0,0,9,6,10,3,16,7,8,4,0,1,,,,,3,2,1,1,310,237,31,24,64,42,24,22,10,3,48,52,8,7,38,33,16,26,11,5,11,12,10,10,20,51,11,9,0,1,,
10433981,51,49,4,1,20,10,0,3,8,2,16,10,475,465,17,12,8,13,3,1,5,1,0,1,10,6,5,3,13,5,7,5,1,1,3,0,,,3,4,1,0,403,390,20,15,55,49,34,37,7,0,52,48,3,9,31,27,15,16,6,3,12,5,13,9,16,19,6,12,,,,
10434095,63,37,1,1,13,13,5,5,8,4,10,20,484,284,19,26,19,9,3,7,4,8,0,0,7,2,2,3,10,8,3,5,0,1,1,0,1,1,2,4,2,5,381,192,23,29,70,48,28,19,4,2,51,49,10,12,48,43,13,16,10,8,18,14,5,11,11,26,6,8,1,0,,
10433984,55,45,4,0,16,18,3,3,6,4,19,12,494,407,12,16,11,18,3,3,5,5,0,0,4,6,7,7,8,10,8,8,2,0,2,0,1,1,2,2,4,2,425,324,11,11,47,53,33,31,3,3,45,55,12,6,26,38,11,8,3,4,10,12,8,8,19,17,11,7,,,,
10433945,32,68,6,0,11,15,5,1,2,4,12,12,347,749,22,21,12,12,1,3,6,5,1,1,4,7,1,3,9,6,2,9,5,0,1,0,0,1,0,3,2,1,256,664,20,16,48,87,22,31,0,2,49,51,12,11,40,43,10,10,6,10,12,13,8,7,23,8,9,3,,,,
10434023,55,45,3,0,12,8,2,1,7,3,6,8,545,446,14,21,5,5,1,1,2,4,1,0,5,3,5,1,8,4,4,4,1,0,2,0,1,0,3,0,3,3,436,355,30,19,66,45,43,15,5,6,44,56,9,4,22,32,15,16,3,6,7,14,11,11,9,31,5,8,,,,
